,score,name,rank,country,district
931,35.8,University of Castilla-La Mancha,91,Spain,Real
932,35.7,University of Arkansas Medical Sciences,92,United States,"Little Rock, AR"
933,35.6,Brno University of Technology,92,Czech Republic,Brno
934,35.6,Southern Illinois University--Carbondale,92,United States,"Carbondale, IL"
935,35.6,University of Ghana,92,Ghana,Legon
936,35.5,University of Toledo,92,United States,"Toledo, OH"
937,35.4,Shandong University of Science & Technology,92,China,"Qingdao, Shandong"
938,35.3,Indian Institute of Technology (IIT) - Guwahati,92,India,"Guwahati, Assam"
939,35.3,Wroclaw Medical University,92,Poland,Wrocław
940,35.2,Guangzhou University,92,China,"Guangzhou, Guangdong"
941,35.2,Nova Southeastern University,92,United States,"Ft. Lauderdale, FL"
942,35.2,Suez Canal University,92,Egypt,"Ismailia, Egypt"
943,35,Anglia Ruskin University,93,United Kingdom,Cambridge
944,35,Manchester Metropolitan University,93,United Kingdom,Manchester
945,35,Middlesex University,93,United Kingdom,London
946,35,Nagasaki University,93,Japan,"Nagasaki, Nagasaki Prefecture"
947,35,Northeast Normal University - China,93,China,"Changchun, Jilin"
948,34.9,Central Queensland University,93,Australia,"Rockhampton North, Queensland"
949,34.9,Jadavpur University,93,India,"Kolkata, West Bengal"
950,34.8,Beijing Forestry University,93,China,Beijing
951,34.8,Hofstra University,93,United States,"Hempstead, NY"
952,34.8,University of New Brunswick,93,Canada,"Fredericton, NB"
953,34.7,Bournemouth University,94,United Kingdom,"Poole, Dorset"
954,34.7,Nanjing University of Posts & Telecommunications,94,China,"Nanjing, Jiangsu"
955,34.7,Universita Ca Foscari Venezia,94,Italy,Venice
956,34.6,Budapest University of Technology & Economics,94,Hungary,Budapest
957,34.5,Kumamoto University,94,Japan,Kumamoto
958,34.5,National Taiwan Normal University,94,Taiwan,Taipei City
959,34.5,Qufu Normal University,94,China,"Qufu, Shandong"
960,34.4,Abo Akademi University,94,Finland,Tuomiokirkontori 3
961,34.4,Kanazawa University,94,Japan,"Kanazawa, Ishikawa"
962,34.4,Universiti Teknologi MARA,94,Malaysia,Darul Ehsan
963,34.3,Beni-Suef University,95,Egypt,"Beni Suef, Egypt"
964,34.3,Capital Medical University,95,China,Beijing
965,34.3,Christian Medical College & Hospital (CMCH) Vellore,95,India,Vellore
966,34.3,Fourth Military Medical University,95,China,"Xi'an, Shaanxi"
967,34.3,Hamburg University of Technology,95,Germany,Hamburg
968,34.3,National University of Sciences & Technology - Pakistan,95,Pakistan,Islamabad
969,34.3,Universite de Sfax,95,Tunisia,Sfax
970,34.3,University of South Africa,95,South Africa,Pretoria
971,34.2,Universitat de Lleida,95,Spain,Lleida
972,34.2,Yokohama City University,95,Japan,"Yokohama, Kanagawa Prefecture"
